fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2001-08-31,2001-10-11,0.12,0.11,0.01,9.0909,pre-market
2001-11-30,2002-01-09,0.25,0.24,0.01,4.1667,pre-market
2002-02-28,2002-04-11,0.23,0.22,0.01,4.5455,pre-market
2002-05-31,2002-07-12,0.27,0.26,0.01,3.8462,pre-market
2002-08-31,2002-10-10,0.16,0.16,0,0,pre-market
2002-11-30,2003-01-09,0.27,0.27,0,0,pre-market
2003-02-28,2003-04-14,0.25,0.24,0.01,4.1667,pre-market
2003-05-31,2003-07-15,0.28,0.25,0.03,12,pre-market
2003-08-31,2003-10-09,0.25,0.25,0,0,pre-market
2003-11-30,2004-01-13,0.27,0.28,-0.01,-3.5714,pre-market
2004-02-29,2004-03-30,0.29,0.25,0.04,16,pre-market
2004-05-31,2004-07-07,0.37,0.35,0.02,5.7143,pre-market
2004-08-31,2004-10-13,0.3,0.28,0.02,7.1429,pre-market
2004-11-30,2005-01-06,0.32,0.31,0.01,3.2258,post-market
2005-02-28,2005-04-07,0.32,0.32,0,0,post-market
2005-05-31,2005-07-07,0.46,0.43,0.03,6.9767,post-market
2005-08-31,2005-10-06,0.39,0.36,0.03,8.3333,post-market
2005-11-30,2006-01-05,0.36,0.34,0.02,5.8824,post-market
2006-02-28,2006-03-28,0.37,0.35,0.02,5.7143,post-market
2006-05-31,2006-06-29,0.5,0.46,0.04,8.6957,post-market
2006-08-31,2006-09-28,0.39,0.39,0,0,post-market
2006-11-30,2006-12-20,0.46,0.42,0.04,9.5238,post-market
2007-02-28,2007-03-27,0.45,0.42,0.03,7.1429,post-market
2007-05-31,2007-06-28,0.54,0.55,-0.01,-1.8182,post-market
2007-08-31,2007-09-27,0.5,0.48,0.02,4.1667,post-market
2007-11-30,2007-12-19,0.6,0.56,0.04,7.1429,post-market
2008-02-29,2008-03-27,0.64,0.56,0.08,14.2857,post-market
2008-05-31,2008-06-26,0.74,0.69,0.05,7.2464,post-market
2008-08-31,2008-09-25,0.67,0.66,0.01,1.5152,post-market
2008-11-30,2008-12-18,0.74,0.68,0.06,8.8235,post-market
2009-02-28,2009-03-26,0.63,0.62,0.01,1.6129,post-market
2009-05-31,2009-06-25,0.68,0.64,0.04,6.25,post-market
2009-08-31,2009-10-01,0.63,0.63,0,0,post-market
2009-11-30,2009-12-17,0.67,0.65,0.02,3.0769,post-market
2010-02-28,2010-03-25,0.6,0.61,-0.01,-1.6393,post-market
2010-05-31,2010-06-24,0.73,0.69,0.04,5.7971,post-market
2010-08-31,2010-09-30,0.66,0.64,0.02,3.125,post-market
2010-11-30,2010-12-16,0.81,0.75,0.06,8,post-market
2011-02-28,2011-03-24,0.75,0.71,0.04,5.6338,post-market
2011-05-31,2011-06-23,0.93,0.89,0.04,4.4944,post-market
2011-08-31,2011-09-27,0.91,0.89,0.02,2.2472,post-market
2011-11-30,2011-12-15,0.96,0.94,0.02,2.1277,post-market
2012-02-29,2012-03-22,0.97,0.86,0.11,12.7907,post-market
2012-05-31,2012-06-28,1.03,0.99,0.04,4.0404,post-market
2012-08-31,2012-09-27,0.88,0.87,0.01,1.1494,post-market
2012-11-30,2012-12-19,1.06,1.05,0.01,0.9524,post-market
2013-02-28,2013-03-28,1,0.97,0.03,3.0928,pre-market
2013-05-31,2013-06-27,1.06,1.13,-0.07,-6.1947,post-market
2013-08-31,2013-09-26,1.01,1.02,-0.01,-0.9804,post-market
2013-11-30,2013-12-19,1.15,1.1,0.05,4.5455,pre-market
2014-02-28,2014-03-27,1.03,1.04,-0.01,-0.9615,pre-market
2014-05-31,2014-06-26,1.26,1.21,0.05,4.1322,pre-market
2014-08-31,2014-09-24,1.08,1.1,-0.02,-1.8182,pre-market
2014-11-30,2014-12-18,1.29,1.2,0.09,7.5,pre-market
2015-02-28,2015-03-26,1.08,1.07,0.01,0.9346,pre-market
2015-05-31,2015-06-25,1.3,1.23,0.07,5.6911,pre-market
2015-08-31,2015-09-24,1.15,1.12,0.03,2.6786,pre-market
2015-11-30,2015-12-17,1.28,1.32,-0.04,-3.0303,pre-market
2016-02-29,2016-03-24,1.34,1.18,0.16,13.5593,pre-market
2016-05-31,2016-06-23,1.41,1.41,0,0,pre-market
2016-08-31,2016-09-28,1.31,1.3,0.01,0.7692,post-market
2016-11-30,2016-12-21,1.58,1.49,0.09,6.0403,pre-market
2017-02-28,2017-03-23,1.33,1.3,0.03,2.3077,pre-market
2017-05-31,2017-06-22,1.52,1.52,0,0,pre-market
2017-08-31,2017-09-28,1.48,1.46,0.02,1.3699,pre-market
2017-11-30,2017-12-21,1.79,1.67,0.12,7.1856,pre-market
2018-02-28,2018-03-22,1.58,1.49,0.09,6.0403,pre-market
2018-05-31,2018-06-28,1.79,1.72,0.07,4.0698,pre-market
2018-08-31,2018-09-27,1.58,1.56,0.02,1.2821,pre-market
2018-11-30,2018-12-20,1.96,1.85,0.11,5.9459,pre-market
2019-02-28,2019-03-28,1.73,1.57,0.16,10.1911,pre-market
2019-05-31,2019-06-27,1.93,1.89,0.04,2.1164,pre-market
2019-08-31,2019-09-26,1.74,1.71,0.03,1.7544,pre-market
2019-11-30,2019-12-19,2.09,1.99,0.1,5.0251,pre-market
2020-02-29,2020-03-19,1.91,1.73,0.18,10.4046,pre-market
2020-05-31,2020-06-25,1.9,1.84,0.06,3.2609,pre-market
2020-08-31,2020-09-24,1.7,1.73,-0.03,-1.7341,pre-market
2020-11-30,2020-12-17,2.17,2.05,0.12,5.8537,pre-market
2021-02-28,2021-03-18,2.03,1.9,0.13,6.8421,pre-market
2021-05-31,2021-06-24,2.4,2.24,0.16,7.1429,pre-market
2021-08-31,2021-09-23,2.2,2.19,0.01,0.4566,pre-market
2021-11-30,2021-12-16,2.78,2.63,0.15,5.7034,pre-market
2022-02-28,2022-03-17,2.54,2.37,0.17,7.173,pre-market
2022-05-31,2022-06-23,2.9,2.83,0.07,2.4735,pre-market
2022-08-31,2022-09-22,2.6,2.57,0.03,1.1673,pre-market
2022-11-30,2022-12-16,3.08,2.93,0.15,5.1195,pre-market
2023-02-28,2023-03-23,2.39,2.5,-0.11,-4.4,pre-market
2023-05-31,2023-06-22,3.15,3,0.15,5,pre-market
2023-08-31,2023-09-28,2.71,2.63,0.08,3.0418,pre-market
2023-11-30,2023-12-19,3.27,3.13,0.14,4.4728,pre-market
2024-02-29,2024-03-21,2.77,2.66,0.11,4.1353,pre-market
2024-05-31,2024-06-20,3.13,3.16,-0.03,-0.9494,pre-market
2024-08-31,2024-09-26,2.79,2.77,0.02,0.722,pre-market
2024-11-30,2024-12-19,3.59,3.42,0.17,4.9708,pre-market
2025-02-28,2025-03-20,2.82,2.81,0.01,0.3559,pre-market
2025-05-31,2025-06-20,3.49,3.32,0.17,5.1205,pre-market
2025-08-31,2025-09-25,3.03,2.97,0.06,2.0202,pre-market
2025-11-30,2025-12-18,3.94,3.72,0.22,5.914,pre-market
2026-02-28,2026-03-19,2.93,2.84,0.09,3.169,pre-market
