fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2014-12-31,USD,11871000,105000,None,None,None,None,11766000,None,None,None,None,None,None,None,None,105000,None,12844000,None,None,None,None,None,12844000,None,None,None,None,11053000,None,None,-973000,None,None,None,66993199.27
2015-12-31,USD,20352000,1255000,994000,994000,None,None,19097000,None,None,None,None,None,None,None,None,261291,None,13692000,914000,640480,None,None,None,12778000,None,None,None,None,10683000,81989,None,6660000,None,None,None,66993199.27
2016-12-31,USD,119209092,63256961,5196914,5196914,1518638,914741,55952131,None,None,None,None,None,None,None,55237747,388921,None,35420969,15356856,8955884,None,None,500000,20064113,None,None,None,None,11129275,5900972,None,83788123,None,-18251357,None,66034606.03
2017-12-31,USD,148098031,29461615,5934043,5934043,10057787,7165487,118636416,None,None,None,None,None,None,None,5199861,1104437,None,34700745,22424569,19533000,None,None,None,12276176,None,None,None,None,None,2892000,None,113397286,None,-35291571,395594,63524956.09
2018-12-31,USD,188244000,35019000,6951000,6951000,14185000,10729000,153225000,None,None,None,None,None,None,None,None,3154000,None,47135000,29845000,16393000,None,None,5000000,17290000,None,None,None,None,9474000,8452000,None,141109000,None,-10218000,401000,68063901.94
2019-12-31,USD,226813000,44323000,5532000,5532000,15261000,19256000,182490000,178202000,None,None,None,None,None,None,None,4274000,None,56730000,26411000,10663000,None,None,3333000,30319000,None,9614000,3333000,None,12947000,12415000,854000,170083000,None,14716000,410000,69035929.45
2020-12-31,USD,228623000,42499000,5300000,5300000,11947000,20299000,186124000,180641000,None,None,None,None,None,None,None,4953000,None,59528000,29113000,11742000,None,None,4872000,30415000,0,12578000,4872000,None,17450000,12499000,965000,169095000,None,9809000,427000,71777892.27
2021-12-31,USD,329033000,86761000,21891000,21891000,15791000,44453000,242272000,236230000,None,None,None,None,None,None,None,4626000,None,117959000,46660000,15346000,None,None,11135000,71299000,8060000,35702000,7674000,None,51436000,20179000,2532000,211074000,None,47067000,441000,74815689.55
2022-12-31,USD,596339000,147489000,35613000,35613000,44973000,55774000,448850000,443441000,None,None,None,None,None,None,None,11129000,None,287141000,162845000,34825000,None,None,81608000,124296000,10886000,51587000,75639000,None,138112000,46412000,3299000,309198000,None,140045000,442000,75567954.32
2023-12-31,USD,665836000,189739000,41962000,41962000,37163000,96866000,476097000,None,None,None,None,None,None,None,800000,12948000,None,296231000,169986000,51624000,None,None,61990000,126245000,10371000,33645000,56534000,None,100550000,56372000,4483000,369605000,None,91944000,528000,80432772.81
2024-12-31,USD,674686000,167634000,33009000,33009000,43358000,73582000,507052000,None,None,None,None,None,None,None,None,17685000,None,311880000,122428000,48855000,None,None,6577000,189452000,13735000,88192000,359000,None,102286000,66996000,7664000,362806000,None,69534000,533000,75415810.88
2025-12-31,USD,1140569000,597606000,440347000,440347000,87155000,54354000,542963000,None,None,None,None,None,None,None,None,15750000,None,657003000,109500000,41600000,None,None,7337000,547503000,17465000,451361000,56000,None,17521000,60563000,8527000,483566000,None,-311000,551000,84141547
