fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-15,0.36,0.36,0,0,pre-market
1996-06-30,1996-07-16,0.32,0.32,0,0,pre-market
1996-09-30,1996-10-22,0.38,0.32,0.06,18.75,pre-market
1996-12-31,1997-01-27,0.34,0.34,0,0,pre-market
1997-03-31,1997-04-21,0.41,0.4,0.01,2.5,pre-market
1997-06-30,1997-07-23,0.38,0.38,0,0,pre-market
1997-09-30,1997-10-20,0.41,0.4,0.01,2.5,pre-market
1997-12-31,1998-01-29,0.41,0.42,-0.01,-2.381,pre-market
1998-03-31,1998-04-20,0.47,0.46,0.01,2.1739,pre-market
1998-06-30,1998-07-22,0.45,0.43,0.02,4.6512,pre-market
1998-09-30,1998-10-21,0.53,0.51,0.02,3.9216,pre-market
1998-12-31,1999-01-28,0.5,0.51,-0.01,-1.9608,pre-market
1999-03-31,1999-04-19,0.53,0.53,0,0,pre-market
1999-06-30,1999-07-21,0.52,0.51,0.01,1.9608,pre-market
1999-09-30,1999-10-20,0.62,0.62,0,0,pre-market
1999-12-31,2000-01-27,0.61,0.61,0,0,pre-market
2000-03-31,2000-04-17,0.63,0.61,0.02,3.2787,pre-market
2000-06-30,2000-07-20,0.61,0.6,0.01,1.6667,pre-market
2000-09-30,2000-10-19,0.71,0.71,0,0,pre-market
2000-12-31,2001-01-25,0.7,0.7,0,0,pre-market
2001-03-31,2001-04-16,0.74,0.73,0.01,1.3699,pre-market
2001-06-30,2001-07-19,0.76,0.74,0.02,2.7027,pre-market
2001-09-30,2001-10-18,0.66,0.66,0,0,pre-market
2001-12-31,2002-01-24,0.6,0.6,0,0,pre-market
2002-03-31,2002-04-15,0.58,0.58,0,0,pre-market
2002-06-30,2002-07-18,0.61,0.61,0,0,pre-market
2002-09-30,2002-10-23,0.68,0.68,0,0,pre-market
2002-12-31,2003-01-23,0.68,0.68,0,0,pre-market
2003-03-31,2003-04-22,0.61,0.58,0.03,5.1724,pre-market
2003-06-30,2003-07-24,0.64,0.6,0.04,6.6667,pre-market
2003-09-30,2003-10-22,0.66,0.66,0,0,pre-market
2003-12-31,2004-01-29,0.67,0.67,0,0,pre-market
2004-03-31,2004-04-19,0.7,0.66,0.04,6.0606,pre-market
2004-06-30,2004-07-22,0.68,0.68,0,0,pre-market
2004-09-30,2004-10-21,0.69,0.68,0.01,1.4706,pre-market
2004-12-31,2005-01-26,0.75,0.74,0.01,1.3514,pre-market
2005-03-31,2005-04-18,0.68,0.66,0.02,3.0303,pre-market
2005-06-30,2005-07-21,0.67,0.67,0,0,pre-market
2005-09-30,2005-10-20,0.73,0.71,0.02,2.8169,pre-market
2005-12-31,2006-01-26,0.8,0.78,0.02,2.5641,pre-market
2006-03-31,2006-04-20,0.77,0.75,0.02,2.6667,pre-market
2006-06-30,2006-07-21,0.76,0.75,0.01,1.3333,pre-market
2006-09-30,2006-10-19,0.8,0.79,0.01,1.2658,pre-market
2006-12-31,2007-01-31,0.85,0.82,0.03,3.6585,pre-market
2007-03-31,2007-04-16,0.84,0.79,0.05,6.3291,pre-market
2007-06-30,2007-07-24,0.9,0.82,0.08,9.7561,pre-market
2007-09-30,2007-10-18,0.91,0.87,0.04,4.5977,pre-market
2007-12-31,2008-01-29,0.9,0.89,0.01,1.1236,pre-market
2008-03-31,2008-04-21,0.92,0.96,-0.04,-4.1667,pre-market
2008-06-30,2008-07-24,0.99,1,-0.01,-1,pre-market
2008-09-30,2008-10-23,1.04,1.02,0.02,1.9608,pre-market
2008-12-31,2009-01-29,1.07,1.05,0.02,1.9048,pre-market
2009-03-31,2009-04-20,1.2,0.99,0.21,21.2121,pre-market
2009-06-30,2009-07-22,1.12,1.02,0.1,9.8039,pre-market
2009-09-30,2009-10-21,1.2,1.02,0.18,17.6471,pre-market
2009-12-31,2010-01-28,0.91,0.92,-0.01,-1.087,pre-market
2010-03-31,2010-04-19,1.18,1.1,0.08,7.2727,pre-market
2010-06-30,2010-07-22,1.24,1.1,0.14,12.7273,pre-market
2010-09-30,2010-10-21,1.21,1.15,0.06,5.2174,pre-market
2010-12-31,2011-01-27,1.11,1.1,0.01,0.9091,pre-market
2011-03-31,2011-04-18,1.24,1.17,0.07,5.9829,pre-market
2011-06-30,2011-07-21,1.18,1.18,0,0,pre-market
2011-09-30,2011-10-20,1.13,1.13,0,0,pre-market
2011-12-31,2012-01-31,0.87,0.81,0.06,7.4074,pre-market
2012-03-31,2012-04-25,0.92,0.78,0.14,17.9487,pre-market
2012-06-30,2012-07-25,0.83,0.77,0.06,7.7922,pre-market
2012-09-30,2012-10-24,0.79,0.83,-0.04,-4.8193,pre-market
2012-12-31,2013-01-29,0.85,0.78,0.07,8.9744,pre-market
2013-03-31,2013-04-24,1.14,1.05,0.09,8.5714,pre-market
2013-06-30,2013-07-24,1.16,1,0.16,16,pre-market
2013-09-30,2013-10-23,1.11,1.04,0.07,6.7308,pre-market
2013-12-31,2014-01-30,0.74,0.74,0,0,pre-market
2014-03-31,2014-04-24,0.7,0.7,0,0,pre-market
2014-06-30,2014-07-24,0.68,0.65,0.03,4.6154,pre-market
2014-09-30,2014-10-23,0.66,0.67,-0.01,-1.4925,pre-market
2014-12-31,2015-01-30,0.75,0.73,0.02,2.7397,pre-market
2015-03-31,2015-04-23,0.87,0.77,0.1,12.987,pre-market
2015-06-30,2015-07-23,0.9,0.74,0.16,21.6216,pre-market
2015-09-30,2015-10-22,0.89,0.76,0.13,17.1053,pre-market
2015-12-31,2016-01-28,0.78,0.78,0,0,pre-market
2016-03-31,2016-04-26,0.83,0.85,-0.02,-2.3529,pre-market
2016-06-30,2016-07-26,0.86,0.86,0,0,pre-market
2016-09-30,2016-10-25,0.88,0.96,-0.08,-8.3333,pre-market
2016-12-31,2017-01-31,0.95,0.98,-0.03,-3.0612,pre-market
2017-03-31,2017-04-25,0.98,0.96,0.02,2.0833,pre-market
2017-06-30,2017-07-25,1.11,1.05,0.06,5.7143,pre-market
2017-09-30,2017-10-24,1.05,1.03,0.02,1.9417,pre-market
2017-12-31,2018-01-31,1.14,1.07,0.07,6.5421,pre-market
2018-03-31,2018-04-24,1.34,1.13,0.21,18.5841,pre-market
2018-06-30,2018-07-24,1.5,1.3,0.2,15.3846,pre-market
2018-09-30,2018-11-06,1.39,1.35,0.04,2.963,pre-market
2018-12-31,2019-02-06,1.33,1.34,-0.01,-0.7463,pre-market
2019-03-31,2019-04-30,1.33,1.31,0.02,1.5267,pre-market
2019-06-30,2019-07-30,1.5,1.45,0.05,3.4483,pre-market
2019-09-30,2019-10-23,1.48,1.41,0.07,4.9645,pre-market
2019-12-31,2020-01-30,1.73,1.52,0.21,13.8158,pre-market
2020-03-31,2020-04-23,1.75,1.48,0.27,18.2432,pre-market
2020-06-30,2020-07-30,1.89,1.56,0.33,21.1538,pre-market
2020-09-30,2020-10-27,1.54,1.71,-0.17,-9.9415,pre-market
2020-12-31,2021-01-29,2.75,2.35,0.4,17.0213,pre-market
2021-03-31,2021-04-27,1.87,2.13,-0.26,-12.2066,pre-market
2021-06-30,2021-08-03,1.87,1.89,-0.02,-1.0582,pre-market
2021-09-30,2021-10-26,1.94,1.98,-0.04,-2.0202,pre-market
2021-12-31,2022-02-03,2.49,2.46,0.03,1.2195,pre-market
2022-03-31,2022-04-28,2.77,2.32,0.45,19.3966,pre-market
2022-06-30,2022-08-04,1.25,1.69,-0.44,-26.0355,pre-market
2022-09-30,2022-11-01,1.98,1.92,0.06,3.125,pre-market
2022-12-31,2023-02-02,2.09,1.78,0.31,17.4157,pre-market
2023-03-31,2023-04-27,1.62,1.73,-0.11,-6.3584,pre-market
2023-06-30,2023-08-08,2.11,1.98,0.13,6.5657,pre-market
2023-09-30,2023-11-02,0.1,-0.13,0.23,176.9231,pre-market
2023-12-31,2024-02-06,2.49,2.22,0.27,12.1622,pre-market
2024-03-31,2024-04-30,2.58,2.46,0.12,4.878,pre-market
2024-06-30,2024-08-08,3.92,2.6,1.32,50.7692,pre-market
2024-09-30,2024-10-30,1.18,1.47,-0.29,-19.7279,pre-market
2024-12-31,2025-02-06,5.32,5.0668,0.2532,4.9972,pre-market
2025-03-31,2025-05-01,3.34,3.54,-0.2,-5.6497,pre-market
2025-06-30,2025-08-07,6.31,5.59,0.72,12.8801,pre-market
2025-09-30,2025-10-30,7.02,6.37,0.65,10.2041,pre-market
2025-12-31,2026-02-04,7.54,7.17,0.37,5.1604,pre-market
