fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-11,0.22,0.21,0.01,4.7619,pre-market
1996-06-30,1996-07-12,0.24,0.23,0.01,4.3478,pre-market
1996-09-30,1996-10-11,0.22,0.23,-0.01,-4.3478,pre-market
1996-12-31,1997-02-04,0.25,0.24,0.01,4.1667,pre-market
1997-03-31,1997-04-10,0.26,0.23,0.03,13.0435,pre-market
1997-06-30,1997-07-10,0.27,0.26,0.01,3.8462,pre-market
1997-09-30,1997-10-09,0.28,0.24,0.04,16.6667,pre-market
1997-12-31,1998-02-04,0.25,0.26,-0.01,-3.8462,pre-market
1998-03-31,1998-04-16,0.28,0.28,0,0,pre-market
1998-06-30,1998-07-17,0.18,0.16,0.02,12.5,pre-market
1998-09-30,1998-10-15,0.17,0.17,0,0,pre-market
1998-12-31,1999-02-03,0.26,0.24,0.02,8.3333,pre-market
1999-03-31,1999-04-15,0.31,0.28,0.03,10.7143,pre-market
1999-06-30,1999-07-15,0.28,0.29,-0.01,-3.4483,pre-market
1999-09-30,1999-10-15,0.29,0.23,0.06,26.087,pre-market
1999-12-31,2000-02-07,0.33,0.31,0.02,6.4516,pre-market
2000-03-31,2000-04-13,0.38,0.35,0.03,8.5714,pre-market
2000-06-30,2000-07-18,0.41,0.38,0.03,7.8947,pre-market
2000-09-30,2000-10-16,0.44,0.35,0.09,25.7143,pre-market
2000-12-31,2001-02-08,0.47,0.46,0.01,2.1739,pre-market
2001-03-31,2001-04-11,0.42,0.4,0.02,5,pre-market
2001-06-30,2001-07-16,0.21,0.21,0,0,pre-market
2001-09-30,2001-10-10,0.2,0.17,0.03,17.6471,pre-market
2001-12-31,2002-02-05,0.24,0.19,0.05,26.3158,pre-market
2002-03-31,2002-04-17,0.24,0.2,0.04,20,pre-market
2002-06-30,2002-07-17,0.28,0.26,0.02,7.6923,pre-market
2002-09-30,2002-10-17,0.3,0.29,0.01,3.4483,pre-market
2002-12-31,2003-02-06,0.34,0.32,0.02,6.25,pre-market
2003-03-31,2003-04-17,0.36,0.33,0.03,9.0909,pre-market
2003-06-30,2003-07-16,0.32,0.35,-0.03,-8.5714,pre-market
2003-09-30,2003-10-15,0.39,0.35,0.04,11.4286,pre-market
2003-12-31,2004-02-04,0.54,0.52,0.02,3.8462,pre-market
2004-03-31,2004-04-21,0.72,0.62,0.1,16.129,pre-market
2004-06-30,2004-07-21,0.68,0.71,-0.03,-4.2254,pre-market
2004-09-30,2004-10-20,0.38,0.38,0,0,pre-market
2004-12-31,2005-03-03,0.27,0.25,0.02,8,pre-market
2005-03-31,2005-04-21,0.3,0.31,-0.01,-3.2258,pre-market
2005-06-30,2005-07-20,0.27,0.27,0,0,pre-market
2005-09-30,2005-10-19,0.39,0.4,-0.01,-2.5,pre-market
2005-12-31,2006-03-02,0.61,0.53,0.08,15.0943,pre-market
2006-03-31,2006-04-20,0.74,0.62,0.12,19.3548,pre-market
2006-06-30,2006-07-27,0.75,0.69,0.06,8.6957,pre-market
2006-09-30,2006-10-26,0.91,0.88,0.03,3.4091,pre-market
2006-12-31,2007-02-22,0.7171,None,0,None,pre-market
2007-03-31,2007-05-02,0.54,0.5,0.04,8,pre-market
2007-06-30,2007-08-06,0.21,0.18,0.03,16.6667,pre-market
2007-09-30,2007-11-01,0.54,0.46,0.08,17.3913,pre-market
2007-12-31,2008-02-20,0.48,0.46,0.02,4.3478,pre-market
2008-03-31,2008-04-30,0.48,0.42,0.06,14.2857,pre-market
2008-06-30,2008-07-30,0.44,0.45,-0.01,-2.2222,pre-market
2008-09-30,2008-10-29,0.51,0.45,0.06,13.3333,pre-market
2008-12-31,2009-02-18,0.44,0.41,0.03,7.3171,pre-market
2009-03-31,2009-05-04,-0.56,-0.37,-0.19,-51.3514,pre-market
2009-06-30,2009-08-03,-4.31,-0.25,-4.06,-1624,pre-market
2009-09-30,2009-11-02,0.4,0.32,0.08,25,pre-market
2009-12-31,2010-02-18,0.45,0.36,0.09,25,pre-market
2010-03-31,2010-05-03,0.43,0.38,0.05,13.1579,pre-market
2010-06-30,2010-08-02,0.52,0.44,0.08,18.1818,pre-market
2010-09-30,2010-11-01,0.55,0.56,-0.01,-1.7857,pre-market
2010-12-31,2011-02-17,0.65,0.39,0.26,66.6667,pre-market
2011-03-31,2011-05-02,0.57,0.52,0.05,9.6154,pre-market
2011-06-30,2011-08-01,0.73,0.69,0.04,5.7971,pre-market
2011-09-30,2011-10-31,0.81,0.79,0.02,2.5316,pre-market
2011-12-31,2012-02-16,0.42,0.28,0.14,50,pre-market
2012-03-31,2012-05-01,0.26,0.27,-0.01,-3.7037,pre-market
2012-06-30,2012-07-31,0.47,0.4,0.07,17.5,pre-market
2012-09-30,2012-11-05,0.69,0.64,0.05,7.8125,pre-market
2012-12-31,2013-02-19,0.58,0.56,0.02,3.5714,pre-market
2013-03-31,2013-04-30,0.44,0.49,-0.05,-10.2041,pre-market
2013-06-30,2013-07-30,0.53,0.54,-0.01,-1.8519,pre-market
2013-09-30,2013-10-29,0.82,0.72,0.1,13.8889,pre-market
2013-12-31,2014-02-24,0.81,0.76,0.05,6.5789,pre-market
2014-03-31,2014-04-29,0.79,0.73,0.06,8.2192,pre-market
2014-06-30,2014-07-29,0.58,0.56,0.02,3.5714,pre-market
2014-09-30,2014-10-28,1.09,0.72,0.37,51.3889,post-market
2014-12-31,2015-02-17,0.89,0.72,0.17,23.6111,post-market
2015-03-31,2015-04-29,0.94,0.8,0.14,17.5,post-market
2015-06-30,2015-07-29,0.67,0.62,0.05,8.0645,post-market
2015-09-30,2015-10-28,0.79,0.72,0.07,9.7222,post-market
2015-12-31,2016-02-22,0.69,0.55,0.14,25.4545,post-market
2016-03-31,2016-05-02,0.85,0.63,0.22,34.9206,post-market
2016-06-30,2016-08-08,0.78,0.83,-0.05,-6.0241,post-market
2016-09-30,2016-11-02,0.95,0.68,0.27,39.7059,post-market
2016-12-31,2017-02-20,0.94,0.82,0.12,14.6341,post-market
2017-03-31,2017-04-26,1.68,1.15,0.53,46.087,post-market
2017-06-30,2017-07-31,1.33,1.22,0.11,9.0164,post-market
2017-09-30,2017-11-02,1.41,1.29,0.12,9.3023,post-market
2017-12-31,2018-02-27,1.36,1.42,-0.06,-4.2254,post-market
2018-03-31,2018-04-26,1.48,1.39,0.09,6.4748,post-market
