fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2013-09-30,2013-11-27,-0.7913,None,0,None,pre-market
2013-12-31,2014-02-19,0.58,0.59,-0.01,-1.6949,pre-market
2014-03-31,2014-04-30,0.44,0.44,0,0,pre-market
2014-06-30,2014-07-30,0.61,0.64,-0.03,-4.6875,pre-market
2014-09-30,2014-10-30,0.68,0.65,0.03,4.6154,pre-market
2014-12-31,2015-02-18,0.76,0.68,0.08,11.7647,pre-market
2015-03-31,2015-04-30,0.51,0.47,0.04,8.5106,pre-market
2015-06-30,2015-07-30,0.71,0.7,0.01,1.4286,pre-market
2015-09-30,2015-10-29,0.92,0.78,0.14,17.9487,pre-market
2015-12-31,2016-02-11,0.89,0.73,0.16,21.9178,pre-market
2016-03-31,2016-04-28,0.61,0.64,-0.03,-4.6875,pre-market
2016-06-30,2016-07-28,0.99,0.9,0.09,10,pre-market
2016-09-30,2016-10-27,0.93,0.95,-0.02,-2.1053,pre-market
2016-12-31,2017-02-09,0.81,0.87,-0.06,-6.8966,pre-market
2017-03-31,2017-04-27,0.73,0.69,0.04,5.7971,pre-market
2017-06-30,2017-07-27,1.11,1,0.11,11,pre-market
2017-09-30,2017-10-26,1.02,1.02,0,0,pre-market
2017-12-31,2018-02-20,1.11,0.93,0.18,19.3548,pre-market
2018-03-31,2018-04-26,0.8,0.85,-0.05,-5.8824,pre-market
2018-06-30,2018-07-26,1.25,1.19,0.06,5.042,pre-market
2018-09-30,2018-10-25,1.23,1.21,0.02,1.6529,pre-market
2018-12-31,2019-02-19,1.22,1.22,0,0,pre-market
2019-03-31,2019-04-25,0.88,0.87,0.01,1.1494,pre-market
2019-06-30,2019-07-25,1.26,1.32,-0.06,-4.5455,pre-market
2019-09-30,2019-10-24,1.47,1.32,0.15,11.3636,pre-market
2019-12-31,2020-02-18,1.28,1.29,-0.01,-0.7752,pre-market
2020-03-31,2020-04-23,1.04,0.89,0.15,16.8539,pre-market
2020-06-30,2020-07-23,0.92,0.84,0.08,9.5238,pre-market
2020-09-30,2020-10-22,1.67,1.22,0.45,36.8852,pre-market
2020-12-31,2021-02-16,1.49,1.19,0.3,25.2101,pre-market
2021-03-31,2021-04-22,1.2,1.02,0.18,17.6471,pre-market
2021-06-30,2021-07-22,1.32,1.32,0,0,pre-market
2021-09-30,2021-10-21,1.56,1.29,0.27,20.9302,pre-market
2021-12-31,2022-02-15,1.11,1.02,0.09,8.8235,pre-market
2022-03-31,2022-04-26,1.07,0.98,0.09,9.1837,pre-market
2022-06-30,2022-07-28,1.37,1.33,0.04,3.0075,pre-market
2022-09-30,2022-10-27,1.64,1.47,0.17,11.5646,pre-market
2022-12-31,2023-02-22,1.6,1.39,0.21,15.1079,pre-market
2023-03-31,2023-04-26,1.58,1.36,0.22,16.1765,pre-market
2023-06-30,2023-07-26,1.76,1.71,0.05,2.924,pre-market
2023-09-30,2023-10-31,1.94,1.73,0.21,12.1387,pre-market
2023-12-31,2024-02-20,1.68,1.59,0.09,5.6604,pre-market
2024-03-31,2024-04-25,1.55,1.45,0.1,6.8966,pre-market
2024-06-30,2024-07-24,1.96,1.84,0.12,6.5217,pre-market
2024-09-30,2024-10-24,2.16,1.98,0.18,9.0909,pre-market
2024-12-31,2025-02-18,1.86,1.7502,0.1098,6.2736,pre-market
2025-03-31,2025-04-24,1.86,1.67,0.19,11.3772,pre-market
2025-06-30,2025-07-24,2.04,1.99,0.05,2.5126,pre-market
2025-09-30,2025-10-23,2.3,2.21,0.09,4.0724,pre-market
2025-12-31,2026-02-24,1.94,1.99,-0.05,-2.5126,pre-market
