fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2008-03-31,2008-06-05,0.4,0.41,-0.01,-2.439,pre-market
2008-06-30,2008-08-13,0.6,0.55,0.05,9.0909,pre-market
2008-09-30,2008-11-13,0.45,0.51,-0.06,-11.7647,pre-market
2008-12-31,2009-03-26,0.39,0.37,0.02,5.4054,pre-market
2009-03-31,2009-05-13,0.37,0.29,0.08,27.5862,pre-market
2009-06-30,2009-08-13,0.62,0.49,0.13,26.5306,pre-market
2009-09-30,2009-11-05,0.54,0.49,0.05,10.2041,pre-market
2009-12-31,2010-02-25,0.44,0.43,0.01,2.3256,pre-market
2010-03-31,2010-05-06,0.4,0.38,0.02,5.2632,pre-market
2010-06-30,2010-07-29,0.74,0.69,0.05,7.2464,pre-market
2010-09-30,2010-10-27,0.6,0.6,0,0,pre-market
2010-12-31,2011-02-17,0.67,0.64,0.03,4.6875,pre-market
2011-03-31,2011-04-27,0.5,0.46,0.04,8.6957,pre-market
2011-06-30,2011-07-27,0.77,0.76,0.01,1.3158,pre-market
2011-09-30,2011-10-26,0.71,0.7,0.01,1.4286,pre-market
2011-12-31,2012-02-15,0.82,0.74,0.08,10.8108,pre-market
2012-03-31,2012-04-25,0.46,0.48,-0.02,-4.1667,pre-market
2012-06-30,2012-07-26,0.85,0.82,0.03,3.6585,pre-market
2012-09-30,2012-10-24,0.79,0.77,0.02,2.5974,pre-market
2012-12-31,2013-02-13,0.82,0.85,-0.03,-3.5294,pre-market
2013-03-31,2013-04-24,0.53,0.46,0.07,15.2174,pre-market
2013-06-30,2013-07-24,0.84,0.84,0,0,pre-market
2013-09-30,2013-10-23,0.88,0.83,0.05,6.0241,pre-market
2013-12-31,2014-02-12,0.97,0.85,0.12,14.1176,pre-market
2014-03-31,2014-04-23,0.74,0.59,0.15,25.4237,pre-market
2014-06-30,2014-07-24,1.06,0.9,0.16,17.7778,pre-market
2014-09-30,2014-10-23,0.98,0.88,0.1,11.3636,pre-market
2014-12-31,2015-02-12,0.88,0.88,0,0,pre-market
2015-03-31,2015-04-23,0.81,0.76,0.05,6.5789,pre-market
2015-06-30,2015-07-23,1.13,1.1,0.03,2.7273,pre-market
2015-09-30,2015-10-22,1.08,1.03,0.05,4.8544,pre-market
2015-12-31,2016-02-17,1,0.98,0.02,2.0408,pre-market
2016-03-31,2016-04-27,0.94,0.86,0.08,9.3023,pre-market
2016-06-30,2016-07-27,1.25,1.2,0.05,4.1667,pre-market
2016-09-30,2016-10-27,1.17,1.11,0.06,5.4054,pre-market
2016-12-31,2017-02-14,1.04,1.06,-0.02,-1.8868,pre-market
2017-03-31,2017-04-26,0.91,0.97,-0.06,-6.1856,pre-market
2017-06-30,2017-07-27,1.25,1.28,-0.03,-2.3438,pre-market
2017-09-30,2017-10-25,1.1,1.16,-0.06,-5.1724,pre-market
2017-12-31,2018-02-14,1.13,1.16,-0.03,-2.5862,pre-market
2018-03-31,2018-04-25,0.98,1.04,-0.06,-5.7692,pre-market
2018-06-30,2018-08-08,1.3,0.28,1.02,364.2857,pre-market
2018-09-30,2018-11-07,0.3,0.27,0.03,11.1111,post-market
2018-12-31,2019-02-28,0.3,0.3,0,0,pre-market
2019-03-31,2019-05-09,0.25,0.23,0.02,8.6957,pre-market
2019-06-30,2019-08-08,0.3,0.29,0.01,3.4483,pre-market
2019-09-30,2019-11-07,0.32,0.32,0,0,post-market
2019-12-31,2020-02-27,0.35,0.35,0,0,pre-market
2020-03-31,2020-04-27,0.29,0.27,0.02,7.4074,post-market
2020-06-30,2020-07-30,0.33,0.31,0.02,6.4516,pre-market
2020-09-30,2020-10-29,0.39,0.37,0.02,5.4054,pre-market
2020-12-31,2021-02-25,0.39,0.4,-0.01,-2.5,pre-market
2021-03-31,2021-04-29,0.33,0.32,0.01,3.125,pre-market
2021-06-30,2021-07-29,0.38,0.37,0.01,2.7027,pre-market
2021-09-30,2021-10-28,0.44,0.44,0,0,pre-market
2021-12-31,2022-02-24,0.45,0.45,0,0,pre-market
2022-03-31,2022-04-28,0.33,0.33,0,0,pre-market
2022-06-30,2022-07-28,0.39,0.39,0,0,pre-market
2022-09-30,2022-10-27,0.46,0.46,0,0,pre-market
2022-12-31,2023-02-23,0.5,0.5,0,0,pre-market
2023-03-31,2023-04-27,0.34,0.33,0.01,3.0303,pre-market
2023-06-30,2023-07-27,0.42,0.4,0.02,5,pre-market
2023-09-30,2023-10-26,0.48,0.47,0.01,2.1277,pre-market
2023-12-31,2024-02-22,0.55,0.54,0.01,1.8519,pre-market
2024-03-31,2024-04-25,0.38,0.35,0.03,8.5714,pre-market
2024-06-30,2024-07-25,0.45,0.45,0,0,pre-market
2024-09-30,2024-10-24,0.51,0.51,0,0,pre-market
2024-12-31,2025-02-20,0.58,0.5712,0.0088,1.5406,pre-market
2025-03-31,2025-04-23,0.42,0.35,0.07,20,pre-market
2025-06-30,2025-07-23,0.49,0.4855,0.0045,0.9269,pre-market
2025-09-30,2025-10-27,0.54,0.54,0,0,pre-market
2025-12-31,2026-02-24,0.6,0.5887,0.0113,1.9195,pre-market
2026-03-31,2026-04-23,0.39,0.4264,-0.0364,-8.5366,pre-market
