fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2008-03-31,2008-05-14,-4.578,None,0,None,pre-market
2008-06-30,2008-08-11,0.28,0.35,-0.07,-20,pre-market
2008-09-30,2008-11-05,0.55,0.55,0,0,pre-market
2008-12-31,2009-02-25,0.23,0.26,-0.03,-11.5385,pre-market
2009-03-31,2009-05-05,0.19,0.15,0.04,26.6667,pre-market
2009-06-30,2009-08-05,0.32,0.31,0.01,3.2258,pre-market
2009-09-30,2009-11-09,0.52,0.54,-0.02,-3.7037,pre-market
2009-12-31,2010-03-01,0.21,0.24,-0.03,-12.5,pre-market
2010-03-31,2010-05-04,0.18,0.18,0,0,pre-market
2010-06-30,2010-08-04,0.42,0.36,0.06,16.6667,pre-market
2010-09-30,2010-11-03,0.71,0.61,0.1,16.3934,pre-market
2010-12-31,2011-02-25,0.23,0.24,-0.01,-4.1667,pre-market
2011-03-31,2011-05-04,0.24,0.22,0.02,9.0909,pre-market
2011-06-30,2011-08-03,0.46,0.46,0,0,pre-market
2011-09-30,2011-11-02,0.76,0.76,0,0,pre-market
2011-12-31,2012-02-27,0.49,0.32,0.17,53.125,pre-market
2012-03-31,2012-05-02,0.25,0.27,-0.02,-7.4074,pre-market
2012-06-30,2012-08-02,0.66,0.49,0.17,34.6939,pre-market
2012-09-30,2012-11-07,0.87,0.82,0.05,6.0976,pre-market
2012-12-31,2013-02-26,0.32,0.34,-0.02,-5.8824,pre-market
2013-03-31,2013-05-07,0.32,0.32,0,0,pre-market
2013-06-30,2013-08-07,0.57,0.61,-0.04,-6.5574,pre-market
2013-09-30,2013-11-06,0.84,0.85,-0.01,-1.1765,pre-market
2013-12-31,2014-02-26,0.47,0.45,0.02,4.4444,pre-market
2014-03-31,2014-05-07,0.4,0.34,0.06,17.6471,pre-market
2014-06-30,2014-08-06,0.63,0.64,-0.01,-1.5625,pre-market
2014-09-30,2014-11-05,0.92,0.91,0.01,1.0989,post-market
2014-12-31,2015-02-24,0.52,0.51,0.01,1.9608,post-market
2015-03-31,2015-05-06,0.44,0.41,0.03,7.3171,post-market
2015-06-30,2015-08-05,0.68,0.67,0.01,1.4925,post-market
2015-09-30,2015-11-04,0.96,0.94,0.02,2.1277,pre-market
2015-12-31,2016-02-25,0.55,0.55,0,0,pre-market
2016-03-31,2016-05-04,0.46,0.46,0,0,post-market
2016-06-30,2016-08-03,0.77,0.73,0.04,5.4795,post-market
2016-09-30,2016-11-02,1.05,1.01,0.04,3.9604,post-market
2016-12-31,2017-02-21,0.57,0.57,0,0,post-market
2017-03-31,2017-05-03,0.52,0.52,0,0,post-market
2017-06-30,2017-08-02,0.75,0.79,-0.04,-5.0633,post-market
2017-09-30,2017-11-01,1.08,1.08,0,0,post-market
2017-12-31,2018-02-20,0.69,0.66,0.03,4.5455,post-market
2018-03-31,2018-05-02,0.59,0.55,0.04,7.2727,post-market
2018-06-30,2018-08-01,0.83,0.81,0.02,2.4691,post-market
2018-09-30,2018-10-31,1.2,1.16,0.04,3.4483,post-market
2018-12-31,2019-02-19,0.69,0.69,0,0,post-market
2019-03-31,2019-05-01,0.61,0.63,-0.02,-3.1746,post-market
2019-06-30,2019-07-31,0.94,0.93,0.01,1.0753,post-market
2019-09-30,2019-10-30,1.33,1.3,0.03,2.3077,post-market
2019-12-31,2020-02-18,0.73,0.73,0,0,post-market
2020-03-31,2020-05-06,0.67,0.65,0.02,3.0769,post-market
2020-06-30,2020-08-05,0.97,0.96,0.01,1.0417,post-market
2020-09-30,2020-11-04,1.46,1.38,0.08,5.7971,post-market
2020-12-31,2021-02-24,0.8,0.8,0,0,post-market
2021-03-31,2021-05-03,0.73,0.73,0,0,post-market
2021-06-30,2021-08-02,1.14,1.08,0.06,5.5556,post-market
2021-09-30,2021-11-02,1.53,1.53,0,0,post-market
2021-12-31,2022-02-16,0.59,0.85,-0.26,-30.5882,post-market
2022-03-31,2022-04-27,0.87,0.77,0.1,12.987,post-market
2022-06-30,2022-07-27,1.2,1.16,0.04,3.4483,post-market
2022-09-30,2022-10-31,1.63,1.51,0.12,7.947,post-market
2022-12-31,2023-02-15,0.73,0.78,-0.05,-6.4103,post-market
2023-03-31,2023-04-26,0.91,0.92,-0.01,-1.087,post-market
2023-06-30,2023-07-26,1.47,1.31,0.16,12.2137,post-market
2023-09-30,2023-11-01,1.7,1.65,0.05,3.0303,post-market
2023-12-31,2024-02-14,0.92,0.83,0.09,10.8434,post-market
2024-03-31,2024-05-01,0.93,0.98,-0.05,-5.102,post-market
2024-06-30,2024-07-31,1.4,1.46,-0.06,-4.1096,post-market
2024-09-30,2024-10-30,1.77,1.84,-0.07,-3.8043,post-market
2024-12-31,2025-02-12,1.22,1.06,0.16,15.0943,post-market
2025-03-31,2025-04-29,1.05,1.066,-0.016,-1.5009,pre-market
2025-06-30,2025-07-29,1.48,1.52,-0.04,-2.6316,pre-market
2025-09-30,2025-10-29,1.94,1.89,0.05,2.6455,pre-market
2025-12-31,2026-02-18,1.24,1.26,-0.02,-1.5873,pre-market
