fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-15,0.48,0.47,0.01,2.1277,pre-market
1996-06-30,1996-07-15,0.5,0.49,0.01,2.0408,pre-market
1996-09-30,1996-10-15,0.52,0.51,0.01,1.9608,pre-market
1996-12-31,1997-01-13,0.54,0.53,0.01,1.8868,pre-market
1997-03-31,1997-04-14,0.47,0.46,0.01,2.1739,pre-market
1997-06-30,1997-07-14,0.51,0.5,0.01,2,pre-market
1997-09-30,1997-10-14,0.54,0.54,0,0,pre-market
1997-12-31,1998-01-12,0.56,0.56,0,0,pre-market
1998-03-31,1998-04-13,0.59,0.53,0.06,11.3208,pre-market
1998-06-30,1998-07-13,0.59,0.57,0.02,3.5088,pre-market
1998-09-30,1998-10-14,0.25,0.43,-0.18,-41.8605,pre-market
1998-12-31,1999-01-19,0.46,0.46,0,0,pre-market
1999-03-31,1999-04-19,0.55,0.52,0.03,5.7692,pre-market
1999-06-30,1999-07-19,0.57,0.57,0,0,pre-market
1999-09-30,1999-10-18,0.62,0.6,0.02,3.3333,pre-market
1999-12-31,2000-01-18,0.62,0.61,0.01,1.6393,pre-market
2000-03-31,2000-04-17,0.67,0.62,0.05,8.0645,pre-market
2000-06-30,2000-07-17,0.62,0.62,0,0,pre-market
2000-09-30,2000-10-16,0.66,0.65,0.01,1.5385,pre-market
2000-12-31,2001-01-16,0.43,0.43,0,0,pre-market
2001-03-31,2001-04-16,0.57,0.57,0,0,pre-market
2001-06-30,2001-07-16,0.62,0.59,0.03,5.0847,pre-market
2001-09-30,2001-10-15,0.64,0.62,0.02,3.2258,pre-market
2001-12-31,2002-01-22,0.64,0.62,0.02,3.2258,pre-market
2002-03-31,2002-04-15,0.69,0.67,0.02,2.9851,pre-market
2002-06-30,2002-07-15,0.7,0.7,0,0,pre-market
2002-09-30,2002-10-15,0.73,0.71,0.02,2.8169,pre-market
2002-12-31,2003-01-15,0.85,0.82,0.03,3.6585,pre-market
2003-03-31,2003-04-14,0.8,0.74,0.06,8.1081,pre-market
2003-06-30,2003-07-14,0.9,0.79,0.11,13.9241,pre-market
2003-09-30,2003-10-14,0.96,0.85,0.11,12.9412,pre-market
2003-12-31,2004-01-15,0.92,0.89,0.03,3.3708,pre-market
2004-03-31,2004-04-14,0.92,0.89,0.03,3.3708,pre-market
2004-06-30,2004-07-14,0.93,0.87,0.06,6.8966,pre-market
2004-09-30,2004-10-14,0.91,0.9,0.01,1.1111,pre-market
2004-12-31,2005-01-18,0.94,0.94,0,0,pre-market
2005-03-31,2005-04-18,1.16,0.97,0.19,19.5876,pre-market
2005-06-30,2005-07-18,1.08,1.01,0.07,6.9307,pre-market
2005-09-30,2005-10-19,1.04,1.02,0.02,1.9608,pre-market
2005-12-31,2006-01-23,0.94,1.02,-0.08,-7.8431,pre-market
2006-03-31,2006-04-20,1.08,1,0.08,8,pre-market
2006-06-30,2006-07-19,1.22,1.1,0.12,10.9091,pre-market
