fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2005-06-30,2005-08-17,0.01,0.05,-0.04,-80,pre-market
2005-09-30,2005-11-09,0.0085,0.04,-0.0315,-78.75,pre-market
2005-12-31,2006-03-23,0.02,0.03,-0.01,-33.3333,pre-market
2006-03-31,2006-05-10,0.02,0.03,-0.01,-33.3333,pre-market
2006-06-30,2006-08-11,0.03,0.03,0,0,pre-market
2006-09-30,2006-11-13,-0.13,0.03,-0.16,-533.3333,pre-market
2006-12-31,2007-02-28,0.01,0.04,-0.03,-75,pre-market
2007-03-31,2007-05-09,0.04,0.03,0.01,33.3333,pre-market
2007-06-30,2007-08-08,0.13,0.04,0.09,225,pre-market
2007-09-30,2007-11-07,0.02,0.05,-0.03,-60,pre-market
2007-12-31,2008-02-15,-0.3,0.06,-0.36,-600,pre-market
2008-03-31,2008-05-08,0.06,0.05,0.01,20,pre-market
2008-06-30,2008-08-11,0.08,0.08,0,0,pre-market
2008-09-30,2008-11-07,0.16,0.09,0.07,77.7778,pre-market
2008-12-31,2009-02-25,0.13,0.15,-0.02,-13.3333,pre-market
2009-03-31,2009-05-04,0.14,0.12,0.02,16.6667,pre-market
2009-06-30,2009-08-04,0.22,0.16,0.06,37.5,pre-market
2009-09-30,2009-11-03,0.11,0.14,-0.03,-21.4286,pre-market
2009-12-31,2010-02-10,0.18,0.18,0,0,pre-market
2010-03-31,2010-04-30,0.2,0.17,0.03,17.6471,pre-market
2010-06-30,2010-08-03,0.25,0.22,0.03,13.6364,pre-market
2010-09-30,2010-11-02,0.19,0.21,-0.02,-9.5238,pre-market
2010-12-31,2011-02-11,0.27,0.26,0.01,3.8462,pre-market
2011-03-31,2011-04-28,0.25,0.24,0.01,4.1667,pre-market
2011-06-30,2011-08-04,0.31,0.3,0.01,3.3333,pre-market
2011-09-30,2011-11-01,0.3,0.27,0.03,11.1111,pre-market
2011-12-31,2012-02-16,0.43,0.34,0.09,26.4706,pre-market
2012-03-31,2012-05-08,0.28,0.3,-0.02,-6.6667,pre-market
2012-06-30,2012-07-31,0.38,0.35,0.03,8.5714,pre-market
2012-09-30,2012-11-06,0.28,0.31,-0.03,-9.6774,pre-market
2012-12-31,2013-02-14,0.31,0.38,-0.07,-18.4211,pre-market
2013-03-31,2013-05-07,0.32,0.32,0,0,pre-market
2013-06-30,2013-07-30,0.41,0.45,-0.04,-8.8889,pre-market
2013-09-30,2013-10-31,0.36,0.36,0,0,pre-market
2013-12-31,2014-02-13,0.41,0.45,-0.04,-8.8889,pre-market
2014-03-31,2014-05-06,0.38,0.35,0.03,8.5714,pre-market
2014-06-30,2014-07-31,0.52,0.47,0.05,10.6383,pre-market
2014-09-30,2014-11-04,0.41,0.42,-0.01,-2.381,pre-market
2014-12-31,2015-02-19,0.38,0.41,-0.03,-7.3171,pre-market
2015-03-31,2015-05-05,0.37,0.35,0.02,5.7143,pre-market
2015-06-30,2015-08-05,0.44,0.48,-0.04,-8.3333,pre-market
2015-09-30,2015-11-03,0.43,0.38,0.05,13.1579,pre-market
2015-12-31,2016-02-18,0.34,0.41,-0.07,-17.0732,pre-market
2016-03-31,2016-05-05,0.42,0.41,0.01,2.439,pre-market
2016-06-30,2016-08-02,0.66,0.54,0.12,22.2222,pre-market
2016-09-30,2016-11-01,0.36,0.4,-0.04,-10,pre-market
2016-12-31,2017-02-14,0.52,0.47,0.05,10.6383,pre-market
2017-03-31,2017-05-09,0.43,0.45,-0.02,-4.4444,pre-market
2017-06-30,2017-07-31,0.68,0.72,-0.04,-5.5556,pre-market
2017-09-30,2017-11-02,0.43,0.54,-0.11,-20.3704,pre-market
2017-12-31,2018-02-27,0.37,0.41,-0.04,-9.7561,pre-market
2018-03-31,2018-05-08,0.53,0.42,0.11,26.1905,pre-market
2018-06-30,2018-08-07,0.66,0.86,-0.2,-23.2558,pre-market
2018-09-30,2018-11-08,0.52,0.59,-0.07,-11.8644,pre-market
2018-12-31,2019-02-26,0.74,0.8,-0.06,-7.5,pre-market
2019-03-31,2019-05-02,0.87,0.79,0.08,10.1266,pre-market
2019-06-30,2019-08-06,0.97,1.06,-0.09,-8.4906,pre-market
2019-09-30,2019-11-07,0.87,0.82,0.05,6.0976,pre-market
2019-12-31,2020-02-27,0.98,0.92,0.06,6.5217,pre-market
2020-03-31,2020-05-06,0.87,0.84,0.03,3.5714,pre-market
2020-06-30,2020-08-05,0.77,0.7,0.07,10,pre-market
2020-09-30,2020-11-05,0.81,0.66,0.15,22.7273,pre-market
2020-12-31,2021-02-22,0.76,0.72,0.04,5.5556,pre-market
2021-03-31,2021-04-28,0.53,0.65,-0.12,-18.4615,pre-market
2021-06-30,2021-08-03,0.89,0.86,0.03,3.4884,pre-market
2021-09-30,2021-11-03,0.24,0.41,-0.17,-41.4634,pre-market
2021-12-31,2022-02-24,0.08,0.83,-0.75,-90.3614,pre-market
2022-03-31,2022-04-26,0.69,0.04,0.65,1625,pre-market
2022-06-30,2022-08-04,0.82,0.02,0.8,4000,post-market
2022-09-30,2022-11-03,-0.95,-0.21,-0.74,-352.381,post-market
2022-12-31,2023-02-23,-0.86,-0.21,-0.65,-309.5238,post-market
2023-03-31,2023-05-05,-0.44,0.01,-0.45,-4500,pre-market
2023-06-30,2023-08-03,-0.49,-0.38,-0.11,-28.9474,pre-market
2023-09-30,2023-11-08,-0.17,-0.06,-0.11,-183.3333,post-market
2023-12-31,2024-02-23,-0.16,-0.07,-0.09,-128.5714,pre-market
2024-03-31,2024-05-09,-0.24,-0.4,0.16,40,pre-market
2024-06-30,2024-08-07,-0.36,-0.22,-0.14,-63.6364,post-market
2024-09-30,2024-11-07,0.05,-0.08,0.13,162.5,pre-market
2024-12-31,2025-02-21,-0.2,0.0257,-0.2257,-878.2101,pre-market
2025-03-31,2025-05-07,-0.18,-0.1295,-0.0505,-38.9961,pre-market
2025-06-30,2025-08-07,0.63,-0.25,0.88,352,pre-market
2025-09-30,2025-11-06,-0.06,-0.09,0.03,33.3333,pre-market
2025-12-31,2026-02-26,-0.1,-0.04,-0.06,-150,pre-market
