fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1996-03-31,1996-04-25,0.4,0.49,-0.09,-18.3673,pre-market
1996-06-30,1996-07-19,2.09,1.99,0.1,5.0251,pre-market
1996-09-30,1996-10-24,1.49,1.52,-0.03,-1.9737,pre-market
1996-12-31,1997-01-23,0.82,0.66,0.16,24.2424,pre-market
1997-03-31,1997-04-24,1.44,1.02,0.42,41.1765,pre-market
1997-06-30,1997-07-24,1.95,2.03,-0.08,-3.9409,pre-market
1997-09-30,1997-10-23,1.63,1.49,0.14,9.396,pre-market
1997-12-31,1998-01-21,1.2,0.93,0.27,29.0323,pre-market
1998-03-31,1998-04-20,1.23,1.38,-0.15,-10.8696,pre-market
1998-06-30,1998-07-16,2.26,2.15,0.11,5.1163,pre-market
1998-09-30,1998-10-15,2.08,1.89,0.19,10.0529,pre-market
1998-12-31,1999-01-19,1.29,1.3,-0.01,-0.7692,pre-market
1999-03-31,1999-04-15,1.51,1.23,0.28,22.7642,pre-market
1999-06-30,1999-07-19,2.4,2.29,0.11,4.8035,pre-market
1999-09-30,1999-10-18,1.96,1.93,0.03,1.5544,pre-market
1999-12-31,2000-01-18,1.24,1.09,0.15,13.7615,pre-market
2000-03-31,2000-04-18,1.33,1.12,0.21,18.75,pre-market
2000-06-30,2000-07-20,2.86,2.71,0.15,5.5351,pre-market
2000-09-30,2000-10-17,2.08,2.06,0.02,0.9709,pre-market
2000-12-31,2001-01-18,0.6,0.6,0,0,pre-market
2001-03-31,2001-04-18,-1.02,-0.86,-0.16,-18.6047,pre-market
2001-06-30,2001-07-19,-1.03,-1.2,0.17,14.1667,pre-market
2001-09-30,2001-11-01,-2.43,-2.7,0.27,10,pre-market
2001-12-31,2002-01-31,-3.97,-3.89,-0.08,-2.0566,pre-market
2002-03-31,2002-04-16,-2.9,-2.87,-0.03,-1.0453,pre-market
2002-06-30,2002-07-18,-1.34,-1.39,0.05,3.5971,pre-market
2002-09-30,2002-10-15,-1.75,-1.84,0.09,4.8913,pre-market
2002-12-31,2003-01-16,-1.9,-2.29,0.39,17.0306,pre-market
2003-03-31,2003-04-17,-3.49,-3.51,0.02,0.5698,pre-market
2003-06-30,2003-07-17,-1.95,-2.08,0.13,6.25,pre-market
2003-09-30,2003-10-14,-1.43,-1.46,0.03,2.0548,pre-market
2003-12-31,2004-01-14,-1.71,-1.65,-0.06,-3.6364,pre-market
2004-03-31,2004-04-14,-3.12,-3.02,-0.1,-3.3113,pre-market
2004-06-30,2004-07-19,-2.55,-2.46,-0.09,-3.6585,pre-market
2004-09-30,2004-10-20,-4.73,-4.38,-0.35,-7.9909,pre-market
2004-12-31,2005-01-20,-5.88,-5.51,-0.37,-6.7151,pre-market
2005-03-31,2005-04-21,-4.89,-4.76,-0.13,-2.7311,pre-market
2005-06-30,2005-07-21,-2.11,-2.37,0.26,10.9705,pre-market
2005-09-30,2005-11-10,-2.62,-3,0.38,12.6667,pre-market
2005-12-31,2006-02-14,-4.13,-3.32,-0.81,-24.3976,pre-market
2006-03-31,2006-05-11,-10.94,-2.15,-8.79,-408.8372,pre-market
2006-06-30,2006-08-11,-11.17,-2.65,-8.52,-321.5094,pre-market
2006-09-30,2006-11-13,-0.23,-1.57,1.34,85.3503,pre-market
2006-12-31,2007-02-15,-1.22,-1.03,-0.19,-18.4466,pre-market
2007-03-31,2007-04-27,-0.6589,None,0,None,pre-market
2007-06-30,2007-07-18,0.7,0.59,0.11,18.6441,pre-market
2007-09-30,2007-10-16,0.56,0.41,0.15,36.5854,pre-market
2007-12-31,2008-01-23,-0.18,-0.18,0,0,pre-market
2008-03-31,2008-04-23,-0.69,-0.55,-0.14,-25.4545,pre-market
2008-06-30,2008-07-16,0.35,0.12,0.23,191.6667,pre-market
2008-09-30,2008-10-15,-0.07,-0.02,-0.05,-250,pre-market
2008-12-31,2009-01-27,-0.5,-0.34,-0.16,-47.0588,pre-market
2009-03-31,2009-04-21,-0.84,-0.98,0.14,14.2857,pre-market
2009-06-30,2009-07-22,-0.24,-0.29,0.05,17.2414,pre-market
