fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2006-12-31,USD,702000000,None,None,None,None,205000000,216000000,None,-282000000,None,-333000000,-400000000,None,None,None,None,None,None,None,None,None,None,-252000000,None,101000000,None,None,190000000
2007-12-31,USD,1405000000,None,None,None,None,246000000,224000000,None,-303000000,None,42000000,50000000,None,None,None,None,None,None,None,None,None,None,-248000000,None,185000000,None,None,476000000
2008-12-31,USD,1697000000,None,None,None,None,287000000,333000000,None,-232000000,None,-1199000000,-198000000,None,None,None,None,None,None,None,None,None,None,-100000000,None,275000000,None,None,645000000
2009-12-31,USD,3293000000,None,None,None,None,378000000,373000000,-481000000,-531000000,None,-2337000000,-280000000,None,None,None,None,0,0,None,None,None,None,0,None,341000000,675000000,-1000000,902000000
2010-12-31,USD,3495000000,None,None,None,None,568000000,979000000,-295000000,-1019000000,None,-3360000000,181000000,None,None,None,None,0,0,None,None,None,None,0,None,424000000,333000000,17000000,1152000000
2011-12-31,USD,3903000000,None,None,None,None,1083000000,1811000000,-866000000,-1777000000,None,-1930000000,-482000000,None,None,None,None,0,0,None,None,None,None,-277000000,None,557000000,1492000000,1000000,631000000
2012-12-31,USD,4180000000,None,None,None,None,2159000000,3785000000,-861000000,-999000000,None,-3595000000,2259000000,None,None,None,None,0,0,None,None,None,None,-960000000,None,833000000,2815000000,-29000000,-39000000
2013-12-31,USD,5475000000,None,None,None,None,3253000000,3444000000,-846000000,-1410000000,None,-4276000000,-539000000,None,None,None,None,0,0,None,None,None,None,0,None,1134000000,574000000,-86000000,274000000
2014-12-31,USD,6842000000,None,None,None,None,4746000000,4893000000,-1039000000,-1193000000,None,-5065000000,4432000000,None,None,None,None,0,0,None,None,None,None,0,None,1497000000,5899000000,-310000000,-241000000
2015-12-31,USD,12039000000,None,None,None,None,6281000000,5387000000,-1755000000,-2187000000,None,-6450000000,-3882000000,None,None,None,None,0,0,None,None,None,None,0,None,2119000000,1333000000,-374000000,596000000
2016-12-31,USD,17203000000,None,None,None,None,8116000000,7804000000,-3367000000,-1426000000,None,-9516000000,-3716000000,None,None,None,None,0,0,None,None,None,None,0,None,2975000000,3444000000,-212000000,2371000000
2017-12-31,USD,18365000000,None,None,None,None,11478000000,11955000000,-4786000000,-3583000000,None,-27084000000,9928000000,None,None,None,None,0,0,None,None,None,None,0,None,4215000000,1188000000,713000000,3033000000
2018-12-31,USD,30723000000,None,None,None,None,15341000000,13427000000,-4615000000,-1314000000,None,-12369000000,-7686000000,None,None,None,None,None,None,None,None,None,None,None,None,5418000000,10317000000,-351000000,10073000000
2019-12-31,USD,38514000000,None,None,None,None,21789000000,16861000000,-7681000000,-3278000000,None,-24281000000,-10066000000,None,None,None,None,None,None,None,None,None,None,None,None,6864000000,4237000000,70000000,11588000000
2020-12-31,USD,66064000000,None,None,None,None,25251000000,40140000000,-8169000000,-2849000000,None,-59611000000,-1104000000,None,None,None,None,None,None,None,None,None,None,0,None,9208000000,5967000000,618000000,21331000000
2021-12-31,USD,46327000000,None,None,None,None,34296000000,61053000000,-18163000000,-9487000000,None,-58154000000,6291000000,None,None,None,None,None,None,None,None,None,None,0,None,12757000000,-5900000000,-364000000,33364000000
2022-12-31,USD,46752000000,None,None,None,None,41921000000,63645000000,-21897000000,-2592000000,None,-37601000000,9718000000,None,None,None,None,None,None,None,None,None,None,-6000000000,None,19621000000,18869000000,None,-2722000000
2023-12-31,USD,84946000000,None,None,None,None,48663000000,52729000000,None,1449000000,None,-49833000000,-15879000000,None,None,None,None,None,None,None,None,None,None,0,None,24023000000,None,None,30425000000
2024-12-31,USD,115877000000,None,None,None,None,52795000000,82999000000,None,-1884000000,None,-94342000000,-11812000000,None,None,None,None,None,None,None,None,None,None,0,None,22011000000,None,None,59248000000
2025-12-31,USD,139514000000,None,None,None,None,65756000000,131819000000,None,-3002000000,None,-142545000000,9661000000,None,None,None,None,None,None,None,None,None,None,None,None,19467000000,None,None,77670000000
