fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
1998-03-31,1998-03-31,0.6933,None,0,None,pre-market
1998-06-30,1998-06-30,0.3644,None,0,None,pre-market
1998-09-30,1998-09-30,0.3377,None,0,None,pre-market
1998-12-31,1998-12-31,0.34,None,0,None,pre-market
1999-03-31,1999-03-31,0.3366,None,0,None,pre-market
1999-06-30,1999-06-30,0.4066,None,0,None,pre-market
1999-09-30,1999-09-30,0.4011,None,0,None,pre-market
1999-12-31,1999-12-31,0.4402,None,0,None,pre-market
2000-03-31,2000-03-31,0.3808,None,0,None,pre-market
2000-06-30,2000-06-30,0.2715,None,0,None,pre-market
2000-09-30,2000-09-30,0.4182,None,0,None,pre-market
2000-12-31,2000-12-31,0.407,None,0,None,pre-market
2001-03-31,2001-03-31,0.3798,None,0,None,pre-market
2001-06-30,2001-06-30,0.4087,None,0,None,pre-market
2001-09-30,2001-09-30,0.4477,None,0,None,pre-market
2001-12-31,2001-12-31,0.4486,None,0,None,pre-market
2002-03-31,2002-05-09,0.421,None,0,None,pre-market
2002-06-30,2002-08-08,0.3796,None,0,None,pre-market
2002-09-30,2002-11-05,0.455,None,0,None,pre-market
2002-12-31,2003-02-06,0.5904,None,0,None,pre-market
2003-03-31,2003-05-06,0.2957,None,0,None,pre-market
2003-06-30,2003-08-12,0.4239,None,0,None,pre-market
2003-09-30,2003-11-05,0.5134,None,0,None,pre-market
2003-12-31,2004-01-28,0.89,0.61,0.28,45.9016,pre-market
2004-03-31,2004-04-28,0.35,0.38,-0.03,-7.8947,pre-market
2004-06-30,2004-07-28,0.41,0.37,0.04,10.8108,pre-market
2004-09-30,2004-10-27,0.58,0.51,0.07,13.7255,pre-market
2004-12-31,2005-02-02,0.73,0.57,0.16,28.0702,pre-market
2005-03-31,2005-05-03,0.55,0.56,-0.01,-1.7857,pre-market
2005-06-30,2005-08-03,0.63,0.57,0.06,10.5263,pre-market
2005-09-30,2005-10-31,0.42,0.4,0.02,5,pre-market
2005-12-31,2006-02-01,0.64,0.45,0.19,42.2222,pre-market
2006-03-31,2006-05-03,0.97,0.33,0.64,193.9394,pre-market
2006-06-30,2006-08-02,0.47,0.47,0,0,pre-market
2006-09-30,2006-11-01,0.57,0.53,0.04,7.5472,pre-market
2006-12-31,2007-01-31,0.89,0.63,0.26,41.2698,pre-market
2007-03-31,2007-05-02,0.75,0.67,0.08,11.9403,pre-market
2007-06-30,2007-08-01,0.64,0.52,0.12,23.0769,pre-market
2007-09-30,2007-10-31,0.53,0.56,-0.03,-5.3571,pre-market
2007-12-31,2008-02-06,0.72,0.72,0,0,pre-market
2008-03-31,2008-05-06,0.38,0.41,-0.03,-7.3171,pre-market
2008-06-30,2008-08-06,0.45,0.54,-0.09,-16.6667,pre-market
2008-09-30,2008-11-10,0.84,0.59,0.25,42.3729,pre-market
2008-12-31,2009-02-04,0.23,0.48,-0.25,-52.0833,pre-market
2009-03-31,2009-05-06,0.28,0.29,-0.01,-3.4483,pre-market
2009-06-30,2009-08-05,-0.23,0.26,-0.49,-188.4615,pre-market
2009-09-30,2009-10-30,-1.05,0.29,-1.34,-462.069,pre-market
2009-12-31,2010-02-03,0.31,0.21,0.1,47.619,pre-market
2010-03-31,2010-05-05,0.15,0.06,0.09,150,pre-market
2010-06-30,2010-08-04,0.08,0.04,0.04,100,pre-market
2010-09-30,2010-11-03,0.12,0.12,0,0,pre-market
2010-12-31,2011-02-02,-0.44,0.06,-0.5,-833.3333,pre-market
2011-03-31,2011-05-04,0.02,0.08,-0.06,-75,pre-market
2011-06-30,2011-08-03,0.14,0.11,0.03,27.2727,pre-market
2011-09-30,2011-11-03,0.09,0.12,-0.03,-25,pre-market
2011-12-31,2012-02-01,0.09,0.15,-0.06,-40,pre-market
2012-03-31,2012-05-02,0.14,0.07,0.07,100,pre-market
2012-06-30,2012-07-31,0.06,0.14,-0.08,-57.1429,pre-market
2012-09-30,2012-11-07,0.13,0.13,0,0,pre-market
2012-12-31,2013-01-30,-0.41,0.15,-0.56,-373.3333,pre-market
2013-03-31,2013-05-07,0.17,0.16,0.01,6.25,pre-market
2013-06-30,2013-07-31,0.22,0.18,0.04,22.2222,pre-market
2013-09-30,2013-10-30,0.13,0.2,-0.07,-35,pre-market
2013-12-31,2014-02-12,0.5,0.18,0.32,177.7778,pre-market
2014-03-31,2014-05-07,0.21,0.15,0.06,40,pre-market
2014-06-30,2014-08-06,0.28,0.16,0.12,75,pre-market
2014-09-30,2014-11-03,0.52,0.17,0.35,205.8824,post-market
2014-12-31,2015-02-11,0.59,0.24,0.35,145.8333,post-market
2015-03-31,2015-05-06,0.27,0.24,0.03,12.5,post-market
2015-06-30,2015-08-05,0.34,0.25,0.09,36,post-market
2015-09-30,2015-10-28,0.57,0.25,0.32,128,post-market
2015-12-31,2016-02-10,0.18,0.19,-0.01,-5.2632,post-market
2016-03-31,2016-05-03,0.49,0.3,0.19,63.3333,post-market
2016-06-30,2016-08-02,0.35,0.28,0.07,25,post-market
2016-09-30,2016-11-01,0.57,-0.01,0.58,5800,post-market
2016-12-31,2017-02-08,0.53,0.35,0.18,51.4286,post-market
2017-03-31,2017-05-09,0.29,0.01,0.28,2800,post-market
2017-06-30,2017-08-03,0.28,0.4,-0.12,-30,post-market
2017-09-30,2017-11-01,0.35,0.31,0.04,12.9032,post-market
2017-12-31,2018-02-08,0.44,0.33,0.11,33.3333,post-market
2018-03-31,2018-04-30,0.31,0.36,-0.05,-13.8889,post-market
2018-06-30,2018-08-02,0.28,0.34,-0.06,-17.6471,post-market
2018-09-30,2018-10-25,0.41,0.38,0.03,7.8947,post-market
2018-12-31,2019-02-13,0.46,0.38,0.08,21.0526,post-market
2019-03-31,2019-05-02,0.54,0.35,0.19,54.2857,post-market
2019-06-30,2019-08-01,0.31,0.34,-0.03,-8.8235,post-market
2019-09-30,2019-10-30,0.34,0.34,0,0,post-market
2019-12-31,2020-02-12,0.24,0.4,-0.16,-40,post-market
2020-03-31,2020-05-07,-0.15,0.36,-0.51,-141.6667,post-market
2020-06-30,2020-08-03,0.11,0.27,-0.16,-59.2593,post-market
2020-09-30,2020-11-05,0.07,0.21,-0.14,-66.6667,post-market
2020-12-31,2021-02-11,0.23,0.17,0.06,35.2941,post-market
2021-03-31,2021-05-06,0.47,0.17,0.3,176.4706,post-market
2021-06-30,2021-08-05,0.56,0.29,0.27,93.1034,post-market
2021-09-30,2021-11-04,0.69,0.52,0.17,32.6923,post-market
2021-12-31,2022-02-10,0.39,0.46,-0.07,-15.2174,post-market
2022-03-31,2022-05-03,1.13,0.43,0.7,162.7907,post-market
2022-06-30,2022-08-04,0.61,0.45,0.16,35.5556,post-market
2022-09-30,2022-11-03,0.51,0.46,0.05,10.8696,post-market
2022-12-31,2023-02-09,0.56,0.46,0.1,21.7391,post-market
2023-03-31,2023-05-04,0.57,0.51,0.06,11.7647,post-market
2023-06-30,2023-08-03,0.51,0.5,0.01,2,post-market
2023-09-30,2023-11-02,0.5,0.47,0.03,6.383,post-market
2023-12-31,2024-02-08,0.47,0.5,-0.03,-6,post-market
2024-03-31,2024-05-02,0.58,0.47,0.11,23.4043,post-market
2024-06-30,2024-08-01,0.54,0.46,0.08,17.3913,post-market
2024-09-30,2024-10-28,0.54,0.47,0.07,14.8936,post-market
2024-12-31,2025-02-06,0.46,0.47,-0.01,-2.1277,post-market
2025-03-31,2025-04-29,0.58,0.57,0.01,1.7544,post-market
2025-06-30,2025-07-29,0.56,0.54,0.02,3.7037,post-market
2025-09-30,2025-10-28,0.58,0.57,0.01,1.7544,post-market
2025-12-31,2026-02-04,1.09,0.5765,0.5135,89.072,post-market
